"Name","Year","Rating","Runtime","Genre","Number_of_Votes"
"Witness for the Prosecution",1957,"8.4",116,"Crime, Drama, Mystery            ",120015
"Paths of Glory",1957,"8.4",88,"Drama, War            ",190797
"Pather Panchali",1955,"8.4",125,"Drama            ",30427
"Sunset Blvd.",1950,"8.4",110,"Drama, Film-Noir            ",215012
"The Great Dictator",1940,"8.4",125,"Comedy, Drama, War            ",217405
"Chhichhore",2019,"8.3",143,"Comedy, Drama, Romance            ",47507
"1917",2019,"8.3",119,"Action, Drama, War            ",529197
"Uri: The Surgical Strike",2019,"8.3",138,"Action, Drama, War            ",55141
"Tumbbad",2018,"8.3",104,"Drama, Fantasy, Horror            ",39719
"K.G.F: Chapter 1",2018,"8.3",156,"Action, Crime, Drama            ",54373
"Vikram Vedha",2017,"8.3",147,"Action, Crime, Drama            ",35865
"Drishyam",2013,"8.3",160,"Crime, Drama, Thriller            ",39524
"Jagten",2012,"8.3",115,"Drama            ",313400
"Jodaeiye Nader az Simin",2011,"8.3",123,"Drama            ",237884
"Incendies",2010,"8.3",131,"Drama, Mystery, War            ",168591
"The Father",2020,"8.3",97,"Drama, Mystery            ",122567
"Inglourious Basterds",2009,"8.3",153,"Adventure, Drama, War            ",1369559
"Eternal Sunshine of the Spotless Mind",2004,"8.3",108,"Drama, Romance, Sci-Fi            ",966929
"Le fabuleux destin d'Amélie Poulain",2001,"8.3",122,"Comedy, Romance            ",735630
"Requiem for a Dream",2000,"8.3",102,"Drama            ",809907
"American Beauty",1999,"8.3",122,"Drama            ",1121071
"Good Will Hunting",1997,"8.3",126,"Drama, Romance            ",922890
"Bacheha-Ye aseman",1997,"8.3",89,"Drama, Family, Sport            ",72327
"Toy Story",1995,"8.3",81,"Animation, Adventure, Comedy            ",948593
"Braveheart",1995,"8.3",178,"Biography, Drama, History            ",1005464
"Reservoir Dogs",1992,"8.3",99,"Crime, Drama, Thriller            ",977410
"Full Metal Jacket",1987,"8.3",116,"Drama, War            ",714597
"Idi i smotri",1985,"8.3",142,"Drama, Thriller, War            ",71828
"Aliens",1986,"8.3",137,"Action, Adventure, Sci-Fi            ",691433
"Once Upon a Time in America",1984,"8.3",229,"Crime, Drama            ",337708
"Amadeus",1984,"8.3",160,"Biography, Drama, Music            ",389025
"Scarface",1983,"8.3",170,"Crime, Drama            ",797600
"Star Wars: Episode VI - Return of the Jedi",1983,"8.3",131,"Action, Adventure, Fantasy            ",1006903
"Das Boot",1981,"8.3",149,"Drama, War            ",244597
"Dersu Uzala",1975,"8.3",142,"Adventure, Biography, Drama            ",27151
"The Sting",1973,"8.3",129,"Comedy, Crime, Drama            ",254586
"A Clockwork Orange",1971,"8.3",136,"Crime, Sci-Fi            ",800291
"2001: A Space Odyssey",1968,"8.3",149,"Adventure, Sci-Fi            ",643096
"Lawrence of Arabia",1962,"8.3",228,"Adventure, Biography, Drama            ",284685
"The Apartment",1960,"8.3",125,"Comedy, Drama, Romance            ",175794
"North by Northwest",1959,"8.3",136,"Adventure, Mystery, Thriller            ",318120
"Vertigo",1958,"8.3",128,"Mystery, Romance, Thriller            ",389924
"Singin' in the Rain",1952,"8.3",103,"Comedy, Musical, Romance            ",233779
"Ikiru",1952,"8.3",143,"Drama            ",75583
"Ladri di biciclette",1948,"8.3",89,"Drama            ",158753
"Double Indemnity",1944,"8.3",107,"Crime, Drama, Film-Noir            ",152592
"Citizen Kane",1941,"8.3",119,"Drama, Mystery            ",429712
"M - Eine Stadt sucht einen Mörder",1931,"8.3",117,"Crime, Mystery, Thriller            ",153471
"Metropolis",1927,"8.3",153,"Drama, Sci-Fi            ",169709
"The Kid",1921,"8.3",68,"Comedy, Drama, Family            ",122884
"Andhadhun",2018,"8.2",139,"Comedy, Crime, Music            ",87089
"Green Book",2018,"8.2",130,"Biography, Comedy, Drama            ",448652
"Koe no katachi",2016,"8.2",130,"Animation, Drama            ",70843
"Talvar",2015,"8.2",132,"Crime, Drama, Mystery            ",34136
"Baahubali 2: The Conclusion",2017,"8.2",167,"Action, Drama            ",84476
"Klaus",2019,"8.2",96,"Animation, Adventure, Comedy            ",137685
"Masaan",2015,"8.2",109,"Drama            ",26930
"Drishyam",2015,"8.2",163,"Crime, Drama, Mystery            ",78427
"Queen",2013,"8.2",146,"Adventure, Comedy, Drama            ",64433
"Mandariinid",2013,"8.2",87,"Drama, War            ",45103
"Bhaag Milkha Bhaag",2013,"8.2",186,"Biography, Drama, Sport            ",65934
"Gangs of Wasseypur",2012,"8.2",321,"Action, Comedy, Crime            ",92401
"Udaan",2010,"8.2",134,"Drama            ",44399
"Paan Singh Tomar",2012,"8.2",135,"Action, Biography, Crime            ",35507
"Zindagi Na Milegi Dobara",2011,"8.2",155,"Comedy, Drama, Musical            ",74586
"El secreto de sus ojos",2009,"8.2",129,"Drama, Mystery, Romance            ",204270
"Shutter Island",2010,"8.2",138,"Mystery, Thriller            ",1233595
"Kimetsu no Yaiba: Mugen Ressha-Hen",2020,"8.2",117,"Animation, Action, Adventure            ",46286
"Up",2009,"8.2",96,"Animation, Adventure, Comedy            ",998354
"Miracle in Cell No. 7",2019,"8.2",132,"Drama            ",45186
"Article 15",2019,"8.2",130,"Crime, Drama, Mystery            ",29282
"The Wolf of Wall Street",2013,"8.2",180,"Biography, Comedy, Crime            ",1310859
"Chak De! India",2007,"8.2",153,"Drama, Family, Sport            ",78412
"Babam ve Oglum",2005,"8.2",112,"Drama, Family            ",84621
"There Will Be Blood",2007,"8.2",158,"Drama            ",559585
"Pan's Labyrinth",2006,"8.2",118,"Drama, Fantasy, War            ",648995
"Toy Story 3",2010,"8.2",103,"Animation, Adventure, Comedy            ",802089
"Black",2005,"8.2",122,"Drama            ",34520
"Batman Begins",2005,"8.2",140,"Action, Crime, Drama            ",1390349
"Swades: We, the People",2004,"8.2",210,"Drama, Musical            ",88317
"Der Untergang",2004,"8.2",156,"Biography, Drama, History            ",346685
"Hauru no ugoku shiro",2004,"8.2",119,"Animation, Adventure, Family            ",370347
"A Beautiful Mind",2001,"8.2",135,"Biography, Drama            ",898535
"Hera Pheri",2000,"8.2",156,"Action, Comedy, Crime            ",63797
"Snatch",2000,"8.2",104,"Comedy, Crime            ",826944
"Lock, Stock and Two Smoking Barrels",1998,"8.2",107,"Action, Comedy, Crime            ",565007
"L.A. Confidential",1997,"8.2",138,"Crime, Drama, Mystery            ",564102
"Eskiya",1996,"8.2",128,"Crime, Drama, Thriller            ",69034
"Heat",1995,"8.2",170,"Action, Crime, Drama            ",624041
"Casino",1995,"8.2",178,"Crime, Drama            ",498805
"Unforgiven",1992,"8.2",130,"Drama, Western            ",399079
"Indiana Jones and the Last Crusade",1989,"8.2",127,"Action, Adventure            ",729948
"Tonari no Totoro",1988,"8.2",86,"Animation, Comedy, Family            ",320755
"Die Hard",1988,"8.2",132,"Action, Thriller            ",847806
"Ran",1985,"8.2",162,"Action, Drama, War            ",121763
"Raging Bull",1980,"8.2",129,"Biography, Drama, Sport            ",341725
"Höstsonaten",1978,"8.2",99,"Drama, Music            ",32961
"Taxi Driver",1976,"8.2",114,"Crime, Drama            ",781615
"The Message",1976,"8.2",177,"Biography, Drama, History            ",46413
"Sholay",1975,"8.2",204,"Action, Adventure, Comedy            ",54469
"Monty Python and the Holy Grail",1975,"8.2",91,"Adventure, Comedy, Fantasy            ",525971
"Chinatown",1974,"8.2",130,"Drama, Mystery, Thriller            ",315304
"Anand",1971,"8.2",122,"Drama, Musical            ",33232
"Z",1969,"8.2",127,"Crime, Drama, History            ",27421
"Per qualche dollaro in più",1965,"8.2",132,"Western            ",248344
"The Great Escape",1963,"8.2",172,"Adventure, Drama, History            ",238112
"To Kill a Mockingbird",1962,"8.2",129,"Crime, Drama            ",308684
"Yôjinbô",1961,"8.2",110,"Action, Drama, Thriller            ",119404
"Judgment at Nuremberg",1961,"8.2",179,"Drama, War            ",75137
"Some Like It Hot",1959,"8.2",121,"Comedy, Music, Romance            ",259070
"Smultronstället",1957,"8.2",91,"Drama, Romance            ",104268
"Det sjunde inseglet",1957,"8.2",96,"Drama, Fantasy, History            ",179259
